"VRM","Make","Model","Licence No","Compliance Date","Compliance Expiry"
"AV66 KUX","Audi","A8","21/00414/PHV","01/09/2020","31/08/2021"
"FY65 AEW","Audi","A4","20/02318/HCV","13/08/2020","12/08/2021"
"GY17 KCU","Audi","A6","21/00803/PHV","13/07/2020","12/07/2021"
"KN14 VSK","Audi","A6","21/00658/PHVMAX","19/11/2020","18/11/2021"
"WN19 OPY","Audi","A6","21/00474/PHV","03/11/2020","02/11/2021"
"AK14 OWC","BMW","520","21/01027/PHVMAX","01/10/2020","30/09/2021"
"AK65 YYU","BMW","520D","21/00455/PHVMAX","16/12/2020","15/12/2021"
"CF16 EHU","BMW","520D","21/00485/PHV","01/07/2020","30/06/2021"
"CF16 PXB","BMW","520D","21/00876/PHV","06/11/2020","05/11/2021"
"CP15 OVK","BMW","520D","21/00370/PHVMAX","17/09/2020","18/09/2021"
"DC16 AGZ","BMW","520D","21/00478/PHV","18/08/2020","17/08/2021"
"DP16 YWZ","BMW","520D","21/00793/PHV","09/11/2020","08/11/2021"
"EU64 EFS","BMW","520D","21/01080/PHVMAX","21/08/2020","20/08/2021"
"FD16 UTB","BMW","320D","21/00682/PHV","18/09/2020","17/09/2021"
"FD17 NXS","BMW","320D","21/00087/PHV","07/10/2020","06/10/2021"
"FH11 MMM","BMW","520","21/00310/PHV","08/07/2020","07/07/2021"
"HX13 LLF","BMW","520d","21/00524/PHVMAX","10/12/2020","09/12/2021"
"KF15 FNL","BMW","520D","21/00817/PHVMAX","19/08/2020","18/08/2021"
"KS66 NVK","BMW","520D","21/00177/PHV","06/07/2020","05/07/2021"
"LS66 SYH","BMW","520D","21/00476/PHV","25/02/2020","24/02/2021"
"ND66 BUJ","BMW","520D","21/00379/PHV","22/01/2021","21/01/2022"
"NU66 KYE","BMW","520D","21/00108/PHV","20/07/2020","19/07/2021"
"OY66 CMX","BMW","520D","21/00176/PHV","04/08/2020","03/08/2021"
"RF66 CFK","BMW","520D","21/01037/PHV","05/03/2020","04/03/2021"
"SC66 YSP","BMW","320","21/00872/PHV","08/07/2020","07/07/2021"
"SH03 ROB","BMW","320D","21/00376/PHVMAX","26/02/2021","25/02/2022"
"T700 GRB","BMW","730LD","21/00562/PHVMAX","01/09/2020","31/08/2021"
"WD63 WGA","BMW","520","21/01039/PHVMAX","02/12/2020","01/12/2021"
"WF66 VRR","BMW","520D","21/00092/PHV","18/11/2020","17/11/2021"
"YB66 DKK","BMW","520D","20/02114/HCV","25/09/2020","24/09/2021"
"YF62 PWL","BMW","320","20/02295/HCVMAX","11/09/2020","09/03/2021"
